,Variable,SHAP_abs,Corr,Sign
430,WindowCombinationDrugs_losartan-50,0.0,0.0,neg
568,WindowCombinationDrugs_rosuvastatin-valsartan-valsartan-valsartan-20-320-320-80,0.0,0.0,neg
569,Drug_DailyDosage_DurationDose_valsartan-80-90,0.0,0.0,neg
570,WindowCombinationDrugs_rosuvastatin-valsartan-valsartan-20-320-320,0.0,0.0,neg
571,WindowCombinationDrugs_rosuvastatin-rosuvastatin-valsartan-valsartan-20-20-320-320,0.0,0.0,neg
572,WindowCombinationDrugs_carvedilol-metformin-12.5-500,0.0,0.0,neg
573,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-metformin-metoprolol-metoprolol-metoprolol-80-80-80-1000-50-50-50,0.0,0.0,neg
574,Drug_DailyDosage_DurationDose_metformin-1000-540,0.0,0.0,neg
575,Drug_DailyDosage_DurationDose_metoprolol-50-360,0.0,0.0,neg
576,Drug_DailyDosage_DurationDose_metoprolol-50-540,0.0,0.0,neg
577,WindowCombinationDrugs_atorvastatin-atorvastatin-metformin-metformin-metoprolol-metoprolol-metoprolol-metoprolol-80-80-1000-1000-50-50-50-50,0.0,0.0,neg
567,WindowCombinationDrugs_atorvastatin-10,0.0,0.0,neg
578,Drug_DailyDosage_DurationDose_metformin-1000-360,0.0,0.0,neg
580,WindowCombinationDrugs_metformin-metformin-metformin-1000-1000-1000,0.0,0.0,neg
581,WindowCombinationDrugs_atorvastatin-atorvastatin-losartan-losartan-losartan-metformin-metformin-20-40-100-100-100-2000-2000,0.0,0.0,neg
582,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-40-20-20,0.0,0.0,neg
583,WindowCombinationDrugs_atorvastatin-atorvastatin-losartan-metformin-80-20-100-2000,0.0,0.0,neg
584,Drug_DailyDosage_DurationDose_atorvastatin-80-30,0.0,0.0,neg
585,WindowCombinationDrugs_atorvastatin-losartan-losartan-metoprolol-40-50-50-50,0.0,0.0,neg
586,Drug_DailyDosage_DurationDose_losartan-50-34,0.0,0.0,neg
587,Drug_DailyDosage_DurationDose_losartan-50-270,0.0,0.0,neg
588,WindowCombinationDrugs_atorvastatin-losartan-metoprolol-40-50-50,0.0,0.0,neg
589,WindowCombinationDrugs_losartan-losartan-metoprolol-50-50-50,0.0,0.0,neg
579,WindowCombinationDrugs_atorvastatin-metformin-metformin-metformin-metoprolol-metoprolol-metoprolol-80-1000-1000-1000-50-50-50,0.0,0.0,neg
566,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-metformin-10-10-10-500,0.0,0.0,neg
565,WindowCombinationDrugs_atorvastatin-metformin-10-1000,0.0,0.0,neg
564,WindowCombinationDrugs_atorvastatin-atorvastatin-atorvastatin-metformin-metformin-rosuvastatin-10-10-10-1000-1000-5,0.0,0.0,neg
541,WindowCombinationDrugs_pravastatin-pravastatin-40-40,0.0,0.0,neg
542,WindowCombinationDrugs_valsartan-valsartan-valsartan-160-160-320,0.0,0.0,neg
543,WindowCombinationDrugs_atorvastatin-metformin-metformin-40-1000-1000,0.0,0.0,neg
544,WindowCombinationDrugs_atorvastatin-losartan-metformin-40-50-1000,0.0,0.0,neg
545,WindowCombinationDrugs_atorvastatin-losartan-losartan-metformin-metformin-metformin-40-100-50-1000-1000-1000,0.0,0.0,neg
546,WindowCombinationDrugs_atorvastatin-losartan-metformin-metformin-metformin-40-100-1000-1000-1000,0.0,0.0,neg
547,WindowCombinationDrugs_metformin-simvastatin-2000-20,0.0,0.0,neg
548,WindowCombinationDrugs_losartan-losartan-simvastatin-simvastatin-50-50-20-20,0.0,0.0,neg
549,WindowCombinationDrugs_losartan-simvastatin-simvastatin-50-20-20,0.0,0.0,neg
550,WindowCombinationDrugs_losartan-simvastatin-50-20,0.0,0.0,neg
